id,value
DSC.Leiden CF900.VRM_Z_magA,9090
DSC.Leiden CF900.VRM_Z_magT,9090
DSC.Leiden CF900.VRM_Z_meas_A,9090
DSC.Leiden CF900.VRM_Z_meas_V,9090
DSC.Leiden CF900.VRM_Z_outA,9090
DSC.Leiden CF900.VRM_Z_outT,9090
DSC.Leiden CF900.VRM_Z_setpT,9090
DSC.Leiden CF900.VRM_Z_Status,9090
DSC.Leiden CF900.VRM_Z_sweep
DSC.Leiden CF900.VRM_Z_sweep_A,9090
DSC.Leiden CF900.P7,9090
DSC.lockins
DSC.lockins.blackpearl_lockin_fp,9090
DSC.lockins.custardpie-pc_lockin_fp,9090
DSC.lockins.levee_lockin_fp,9090
DSC.lockins.windysea_lockin_fp,9090
DSC.MFP3D
DSC.MFP3D.MFP3D_Hum,9090
DSC.MFP3D.MFP3D_Temperature,9090
DSC.MFP3D.MFP3D_TSP01_Hum,9090
DSC.MFP3D.MFP3D_TSP01_Temperature,9090
DSC.MFP3D.MFP3D_User,9090
DSC.MNK_18T
DSC.MNK_18T.1820_IPS_Current,9090
DSC.MNK_18T.1820_IPS_Level_He,9090
DSC.MNK_18T.1820_IPS_Level_N2,9090
DSC.MNK_18T.1820_IPS_M1_Current,9090
DSC.MNK_18T.1820_IPS_M1_Voltage,9090
DSC.MNK_18T.1820_IPS_M2_Current,9090
DSC.MNK_18T.1820_IPS_M2_Voltage,9090
DSC.MNK_18T.1820_IPS_M3_Current,9090
DSC.MNK_18T.1820_IPS_M3_Voltage,9090
DSC.MNK_18T.1820_IPS_Magnet_Field,9090
DSC.MNK_18T.1820_IPS_Magnet_Temperature
DSC.MNK_18T.1820_IPS_Magnet_Temperature_R,9090
DSC.MNK_18T.1820_IPS_PS_Field,9090
DSC.MNK_18T.1820_IPS_Reply,9090
DSC.MNK_18T.1820_IPS_Status,9090
DSC.MNK_18T.1820_IPS_Switch,9090
DSC.MNK_18T.1820_IPS_Target_Field
DSC.MNK_18T.1820_IPS_Target_Field_Rate,9090
DSC.MNK_18T.1820_IPS_Voltage,9090
DSC.MNK_18T.1820_ITC_Lambda_Status,9090
DSC.MNK_18T.1820_ITC_Lambda_Temperature
DSC.MNK_18T.1820_ITC_Lambda_Temperature_R,9090
DSC.MNK_18T.1820_ITC_Needle_Valve,9090
DSC.MNK_18T.1820_ITC_Pressure,9090
DSC.MNK_18T.1820_ITC_Reply,9090
DSC.MNK_18T.KH_ch1,9090
DSC.MNK_18T.KH_ch2,9090
DSC.MNK_18T.KH_ch3,9090
DSC.MNK_18T.KH_ch4,9090
DSC.MNK_18T.KH_ch5,9090
DSC.MNK_18T.KH_ch6,9090
DSC.MNK_18T.KH_ch7,9090
DSC.MNK_18T.KH_ch8,9090
DSC.MNK_18T.Lockin_Results,9090
DSC.MNK_18T.MNK_CMN-187_T,9090
DSC.MNK_18T.MNK_CMN-187_Z,9090
DSC.MNK_18T.MNK_Cstill_T,9090
DSC.MNK_18T.MNK_Cstill_Z,9090
DSC.MNK_18T.MNK_FP_Flow,9090
DSC.MNK_18T.MNK_FP_MG0,9090
DSC.MNK_18T.MNK_FP_MG1,9090
DSC.MNK_18T.MNK_FP_MG2,9090
DSC.MNK_18T.MNK_FP_MG3,9090
DSC.MNK_18T.MNK_FP_MG4,9090
DSC.MNK_18T.MNK_FP_MG5,9090
DSC.MNK_18T.MNK_FP_P1,9090
DSC.MNK_18T.MNK_FP_P2,9090
DSC.MNK_18T.MNK_FP_P3,9090
DSC.MNK_18T.MNK_FP_P4,9090
DSC.MNK_18T.MNK_FP_P5,9090
DSC.MNK_18T.MNK_FP_P6,9090
DSC.MNK_18T.MNK_FP_P7,9090
DSC.MNK_18T.MNK_FP_STATE,9090
DSC.MNK_18T.MNK_FP_State0,9090
DSC.MNK_18T.MNK_FP_State1,9090
DSC.MNK_18T.MNK_FP_State2,9090
DSC.MNK_18T.MNK_TC_calibration,9090
DSC.MNK_18T.MNK_TC_description,9090
DSC.MNK_18T.MNK_TC_I0,9090
DSC.MNK_18T.MNK_TC_I1,9090
DSC.MNK_18T.MNK_TC_I2,9090
DSC.MNK_18T.MNK_TC_I3,9090
DSC.MNK_18T.MNK_TC_R0,9090
DSC.MNK_18T.MNK_TC_R1,9090
DSC.MNK_18T.MNK_TC_R2,9090
DSC.MNK_18T.MNK_TC_R3,9090
DSC.MNK_18T.MNK_TC_R4,9090
DSC.MNK_18T.MNK_TC_R5,9090
DSC.MNK_18T.MNK_TC_R6,9090
DSC.MNK_18T.MNK_TC_R7,9090
DSC.MNK_18T.MNK_TC_T0,9090
DSC.MNK_18T.MNK_TC_T1,9090
DSC.MNK_18T.MNK_TC_T2,9090
DSC.MNK_18T.MNK_TC_T3,9090
DSC.MNK_18T.MNK_TC_T4,9090
DSC.MNK_18T.MNK_TC_T5,9090
DSC.MNK_18T.MNK_TC_T6,9090
DSC.MNK_18T.MNK_TC_T7,9090
DSC.MNK_18T.MNK_TC_Z_calibration,9090
DSC.MNK_18T.MNK_TC_Z_description,9090
DSC.MNK_18T.OSC_config,9090
DSC.MNK_18T.Vbg,9090
DSC.Montana THZ 1
DSC.Montana THZ 1.THZ_1_Dew_Point,9090
DSC.Montana THZ 1.THZ_1_Humidity,9090
DSC.Montana THZ 1.THZ_1_Temperature,9090
DSC.OneNote API HTTP
DSC.OneNote API HTTP.Access_Token_0000000048124379,9090
DSC.OneNote API HTTP.Asana_Access_Token_15669051163913,9090
